Day,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
03-23-2020,,,,"Korea, South",2020-03-23 23:19:21,35.90775700000001,127.766922,8961,111,3166,5684,"Korea, South"
03-23-2020,,,,Kuwait,2020-03-23 23:19:21,29.311659999999996,47.481766,189,0,30,159,Kuwait
03-23-2020,,,,Kyrgyzstan,2020-03-23 23:19:21,41.20438,74.766098,16,0,0,16,Kyrgyzstan
03-23-2020,,,,Latvia,2020-03-23 23:19:21,56.8796,24.6032,180,0,1,179,Latvia
03-23-2020,,,,Lebanon,2020-03-23 23:19:21,33.8547,35.8623,267,4,8,255,Lebanon
03-23-2020,,,,Liberia,2020-03-23 23:19:21,6.4280550000000005,-9.429499,3,0,0,3,Liberia
03-23-2020,,,,Liechtenstein,2020-03-23 23:19:21,47.14,9.55,51,0,0,51,Liechtenstein
03-23-2020,,,,Lithuania,2020-03-23 23:19:21,55.1694,23.8813,179,1,1,177,Lithuania
03-23-2020,,,,Luxembourg,2020-03-23 23:19:21,49.8153,6.1296,875,8,6,861,Luxembourg
03-23-2020,,,,Madagascar,2020-03-23 23:19:21,-18.766947000000002,46.869107,12,0,0,12,Madagascar
03-23-2020,,,,Malaysia,2020-03-23 23:19:21,4.210483999999999,101.97576600000001,1518,14,159,1345,Malaysia
03-23-2020,,,,Maldives,2020-03-23 23:19:21,3.2028,73.2207,13,0,5,8,Maldives
03-23-2020,,,,Malta,2020-03-23 23:19:21,35.9375,14.3754,107,0,2,105,Malta
03-23-2020,,,,Mauritania,2020-03-23 23:19:21,21.0079,-10.9408,2,0,0,2,Mauritania
03-23-2020,,,,Mauritius,2020-03-23 23:19:21,-20.348404000000002,57.552152,36,2,0,34,Mauritius
03-23-2020,,,,Mexico,2020-03-23 23:19:21,23.6345,-102.5528,316,3,4,309,Mexico
03-23-2020,,,,Moldova,2020-03-23 23:19:21,47.4116,28.3699,109,1,2,106,Moldova
03-23-2020,,,,Monaco,2020-03-23 23:19:21,43.7333,7.4167,23,0,1,22,Monaco
03-23-2020,,,,Mongolia,2020-03-23 23:19:21,46.8625,103.8467,10,0,0,10,Mongolia
03-23-2020,,,,Montenegro,2020-03-23 23:19:21,42.708678000000006,19.37439,27,1,0,26,Montenegro
03-23-2020,,,,Morocco,2020-03-23 23:19:21,31.7917,-7.0926,143,4,5,134,Morocco
03-23-2020,,,,Mozambique,2020-03-23 23:19:21,-18.665695,35.529562,1,0,0,1,Mozambique
03-23-2020,,,,Namibia,2020-03-23 23:19:21,-22.9576,18.4904,4,0,0,4,Namibia
03-23-2020,,,,Nepal,2020-03-23 23:19:21,28.1667,84.25,2,0,1,1,Nepal
03-23-2020,,,,Netherlands,2020-03-23 23:19:21,52.1326,5.2913,4749,213,2,4534,Netherlands
03-23-2020,,,,New Zealand,2020-03-23 23:19:21,-40.9006,174.886,102,0,0,102,New Zealand
03-23-2020,,,,Nicaragua,2020-03-23 23:19:21,12.865416,-85.207229,2,0,0,2,Nicaragua
03-23-2020,,,,Niger,2020-03-23 23:19:21,17.607789,8.081666,3,0,0,3,Niger
03-23-2020,,,,Nigeria,2020-03-23 23:19:21,9.082,8.6753,40,1,2,37,Nigeria
03-23-2020,,,,North Macedonia,2020-03-23 23:19:21,41.6086,21.7453,136,2,1,133,North Macedonia
03-23-2020,,,,Norway,2020-03-23 23:19:21,60.472,8.4689,2621,10,6,2605,Norway
03-23-2020,,,,Oman,2020-03-23 23:19:21,21.512583,55.92325500000001,66,0,17,49,Oman
03-23-2020,,,,Pakistan,2020-03-23 23:19:21,30.3753,69.3451,875,6,13,856,Pakistan
03-23-2020,,,,Panama,2020-03-23 23:19:21,8.538,-80.7821,313,3,1,309,Panama
03-23-2020,,,,Papua New Guinea,2020-03-23 23:19:21,-6.314993,143.95555,1,0,0,1,Papua New Guinea
03-23-2020,,,,Paraguay,2020-03-23 23:19:21,-23.4425,-58.4438,22,1,0,21,Paraguay
03-23-2020,,,,Peru,2020-03-23 23:19:21,-9.19,-75.0152,395,5,1,389,Peru
03-23-2020,,,,Philippines,2020-03-23 23:19:21,12.879721,121.77401699999999,462,33,18,411,Philippines
03-23-2020,,,,Poland,2020-03-23 23:19:21,51.9194,19.1451,749,8,13,728,Poland
