FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,,Kazakhstan,2020-04-01 21:58:34,48.0196,66.9237,380,3,26,351,Kazakhstan
,,,Kenya,2020-04-01 21:58:34,-0.0236,37.9062,81,1,3,77,Kenya
,,,"Korea, South",2020-04-01 21:58:34,35.90775700000001,127.766922,9887,165,5567,4155,"Korea, South"
,,,Kosovo,2020-04-01 21:58:34,42.602636,20.902977,125,1,10,114,Kosovo
,,,Kuwait,2020-04-01 21:58:34,29.311659999999996,47.481766,317,0,80,237,Kuwait
,,,Kyrgyzstan,2020-04-01 21:58:34,41.20438,74.766098,111,0,3,108,Kyrgyzstan
,,,Laos,2020-04-01 21:58:34,19.856270000000002,102.495496,10,0,0,10,Laos
,,,Latvia,2020-04-01 21:58:34,56.8796,24.6032,446,0,1,445,Latvia
,,,Lebanon,2020-04-01 21:58:34,33.8547,35.8623,479,14,43,422,Lebanon
,,,Liberia,2020-04-01 21:58:34,6.4280550000000005,-9.429499,6,0,0,6,Liberia
,,,Libya,2020-04-01 21:58:34,26.3351,17.228331,10,0,0,10,Libya
,,,Liechtenstein,2020-04-01 21:58:34,47.14,9.55,68,0,0,68,Liechtenstein
,,,Lithuania,2020-04-01 21:58:34,55.1694,23.8813,581,8,7,566,Lithuania
,,,Luxembourg,2020-04-01 21:58:34,49.8153,6.1296,2319,29,80,2210,Luxembourg
,,,MS Zaandam,2020-04-01 21:58:34,0.0,0.0,9,2,0,7,",,MS Zaandam"
,,,Madagascar,2020-04-01 21:58:34,-18.766947000000002,46.869107,57,0,0,57,Madagascar
,,,Malaysia,2020-04-01 21:58:34,4.210483999999999,101.97576600000001,2908,45,645,2218,Malaysia
,,,Maldives,2020-04-01 21:58:34,3.2028,73.2207,19,0,13,6,Maldives
,,,Mali,2020-04-01 21:58:34,17.570692,-3.996166000000001,31,3,0,28,Mali
,,,Malta,2020-04-01 21:58:34,35.9375,14.3754,188,0,2,186,Malta
,,,Mauritania,2020-04-01 21:58:34,21.0079,-10.9408,6,1,2,3,",,Mauritania"
,,,Mauritius,2020-04-01 21:58:34,-20.348404000000002,57.552152,161,6,0,155,Mauritius
,,,Mexico,2020-04-01 21:58:34,23.6345,-102.5528,1215,29,35,1151,Mexico
,,,Moldova,2020-04-01 21:58:34,47.4116,28.3699,423,5,23,395,Moldova
,,,Monaco,2020-04-01 21:58:34,43.7333,7.4167,55,1,2,52,Monaco
